	[C](normalized)	[CCML](normalized)	[Ca](normalized)	[CWP](normalized)	[N](normalized)	[NCML](normalized)
hsa_circ_0079813	0	0.663747764	0.549000403	0.487322856	0.658751561	1.485919059
hsa_circ_0079804	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0079753	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0079687	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0079668	0	3.985675859	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0079658	2	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0079647	0	2.248710265	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0079619	0	1.663747764	3.356355325	0.487322856	0.658751561	0.485919059
hsa_circ_0079557	0	4.833672766	0.549000403	0.487322856	3.980679655	0.485919059
hsa_circ_0079537	0	2.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0079524	2.584962501	1.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0079485	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0079480	0	4.123179383	4.356355325	3.487322856	4.243714061	3.65584406
hsa_circ_0079440	0	2.663747764	2.870928498	2.072285357	0.658751561	0.485919059
hsa_circ_0079422	0	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0079416	0	0.663747764	0.549000403	2.072285357	0.658751561	0.485919059
hsa_circ_0079411	1	0.663747764	1.549000403	0.487322856	0.658751561	1.485919059
